date;plot;N2O;CO2;CH4
05-08-2016;1;0,063509941;54,55536255;-0,001949281
06-08-2016;1;1,160256175;57,97497966;0,000329587
07-08-2016;1;1,007290345;50,13869834;-0,000287469
08-08-2016;1;0,912842431;28,57893736;0,003187798
10-08-2016;1;0,704600325;31,48016873;-0,001128114
11-08-2016;1;0,499796783;20,22124161;7,45603E-06
12-08-2016;1;0,480300267;26,07892496;-0,000981339
19-08-2016;1;0,50730216;14,24682304;0,001227778
22-08-2016;1;0,748057919;25,79473263;-6,52553E-05
26-08-2016;1;0,524361982;27,67521404;0,000367625
29-08-2016;1;0,156100119;17,89143092;-0,000518304
05-09-2016;1;0,303690979;17,258053;-0,00157792
12-09-2016;1;0,061532288;21,93707011;-0,002014071
05-08-2016;2;0,075848036;51,25344004;-0,00223997
06-08-2016;2;0,442374391;44,69867493;-0,001313236
07-08-2016;2;0,525841913;57,02794886;-0,001458914
08-08-2016;2;0,254391456;18,42446611;-0,001350504
10-08-2016;2;0,158959072;21,9510503;-0,001407858
11-08-2016;2;0,281808954;31,74049411;-0,002046394
12-08-2016;2;0,301732415;37,55138221;-0,001790593
19-08-2016;2;0,517691794;22,3081659;-0,001320766
22-08-2016;2;0,391735673;30,65445992;-0,001715952
26-08-2016;2;0,290647421;27,79213804;-0,000655332
29-08-2016;2;0,167984386;22,9162169;-0,003369378
05-09-2016;2;0,177215583;22,0696622;-0,001962219
12-09-2016;2;0,068565644;30,50359293;-0,002752683
